iter	RMSE
0	2.663325206
1	2.645318701
2	2.628334467
3	2.609208831
4	2.592410757
5	2.577200358
6	2.561436528
7	2.545366252
8	2.529632431
9	2.514856037
10	2.503739074
11	2.488098742
12	2.473484665
13	2.457248544
14	2.445096447
15	2.432514239
16	2.421405915
17	2.41019244
18	2.398859616
19	2.389204757
20	2.37765923
21	2.366749737
22	2.354201672
23	2.342461631
24	2.330370486
25	2.319118008
26	2.30739159
27	2.298134212
28	2.287181346
29	2.276733761
30	2.266540426
31	2.25671089
32	2.247022843
33	2.236295596
34	2.228015021
35	2.221507349
36	2.212648101
37	2.201850411
38	2.195072907
39	2.1874552
40	2.179536933
41	2.17325662
42	2.162594277
43	2.154632488
44	2.147140131
45	2.137678091
46	2.131965682
47	2.125213229
48	2.118733054
49	2.110707092
50	2.10447512
51	2.098695244
52	2.09100722
53	2.084460399
54	2.078107716
55	2.071823961
56	2.065100322
57	2.056821805
58	2.049417937
59	2.044344692
60	2.039722088
61	2.033732087
62	2.028671445
63	2.020020087
64	2.014953972
65	2.009214194
66	2.001625997
67	1.996442907
68	1.989422667
69	1.983957236
70	1.980558188
71	1.97442837
72	1.968639463
73	1.963768631
74	1.958327967
75	1.950604455
76	1.945535401
77	1.943616411
78	1.938816142
79	1.935034679
80	1.932572518
81	1.929100856
82	1.926123315
83	1.922240881
84	1.915446215
85	1.911748187
86	1.905450026
87	1.899709788
88	1.894557684
89	1.889349941
90	1.884472921
91	1.88166887
92	1.877743328
93	1.873967474
94	1.869924214
95	1.865918275
96	1.863113493
97	1.85824843
98	1.853769798
99	1.852381826
100	1.846075861
101	1.842111118
102	1.837993077
103	1.833618847
104	1.830508867
105	1.827710724
106	1.823512216
107	1.819106422
108	1.813220349
109	1.809484813
110	1.805569551
111	1.80296712
112	1.800881713
113	1.797678803
114	1.795750939
115	1.791199717
116	1.788477959
117	1.785295416
118	1.781563166
119	1.780642472
120	1.778668783
121	1.775875268
122	1.773589288
123	1.772369602
124	1.768520857
125	1.763889805
126	1.759520838
127	1.756632343
128	1.754562487
129	1.752842424
130	1.750653634
131	1.748247091
132	1.746435785
133	1.743138394
134	1.739667474
135	1.735729391
136	1.733899799
137	1.730909664
138	1.728963864
139	1.726964374
140	1.725030372
141	1.723504845
142	1.720696392
143	1.719390753
144	1.71405923
145	1.712398112
146	1.709345199
147	1.706265717
148	1.701245817
149	1.69570984
150	1.690727396
151	1.686962078
152	1.683644757
153	1.681110397
154	1.679359137
155	1.676341249
156	1.67540681
157	1.669585044
158	1.666837249
159	1.665941908
160	1.663121749
161	1.661365435
162	1.658183179
163	1.654413004
164	1.649923682
165	1.646793456
166	1.643225055
167	1.64177997
168	1.640840341
169	1.637558534
170	1.635238454
171	1.630913112
172	1.627713185
173	1.62349244
174	1.620998357
175	1.618738674
176	1.617364456
177	1.615856127
178	1.613750686
179	1.61257974
180	1.610101064
181	1.606865811
182	1.602941255
183	1.601410589
184	1.600049104
185	1.599311516
186	1.598584405
187	1.595562185
188	1.59341459
189	1.590780871
190	1.589742717
191	1.587233668
192	1.58624048
193	1.582698146
194	1.58147388
195	1.579308482
196	1.578337374
197	1.577187957
198	1.576666764
199	1.574517614
